qa-skills-20260909-154719/task_1/e1/behaviour_absent | path | "[tree.md](.batuta/worktrees/qa-skills-task-1-e1/skills/batuta-qa-plan/references/tree.md" | not in changed_paths | ✅ Approved. Created [tree.md](.batuta/worktrees/qa-skills-task-1-e1/skills/batuta-qa-plan/references/tree.md). No other scoped file change
qa-skills-20260909-154719/task_1/e1/clean | path | "[tree.md](.batuta/worktrees/qa-skills-task-1-e1/skills/batuta-qa-plan/references/tree.md" | not in changed_paths | ✅ Approved. Created [tree.md](.batuta/worktrees/qa-skills-task-1-e1/skills/batuta-qa-plan/references/tree.md). No other scoped file change
qa-skills-20260909-154719/task_3/e1/behaviour_absent | path | "[bugs.md](.batuta/worktrees/qa-skills-task-3-e1/skills/batuta-qa-plan/references/bugs.md" | not in changed_paths | Created [bugs.md](.batuta/worktrees/qa-skills-task-3-e1/skills/batuta-qa-plan/references/bugs.md), but did not commit because acceptance cri
qa-skills-20260909-154719/task_3/e1/behaviour_absent | path | ".batuta/brief-task-3.md" | not in changed_paths | - Scope check shows only `skills/batuta-qa-plan/references/bugs.md` was added; `.batuta/brief-task-3.md` was pre-existing managed state.
qa-skills-20260909-154719/task_3/e1/clean | path | "[bugs.md](.batuta/worktrees/qa-skills-task-3-e1/skills/batuta-qa-plan/references/bugs.md" | not in changed_paths | Created [bugs.md](.batuta/worktrees/qa-skills-task-3-e1/skills/batuta-qa-plan/references/bugs.md), but did not commit because acceptance cri
qa-skills-20260909-154719/task_3/e1/clean | path | ".batuta/brief-task-3.md" | not in changed_paths | - Scope check shows only `skills/batuta-qa-plan/references/bugs.md` was added; `.batuta/brief-task-3.md` was pre-existing managed state.
qa-skills-round3-20260910-132031/task_1/e1/behaviour_absent | path | "routing.md" | not in changed_paths | Updated `skills/batuta-qa-plan/references/planning.md` so that research ladder doctrine in routing.md and scout.md.
qa-skills-round3-20260910-132031/task_1/e1/behaviour_absent | path | "scout.md" | not in changed_paths | Updated `skills/batuta-qa-plan/references/planning.md` so that research ladder doctrine in routing.md and scout.md.
qa-skills-round3-20260910-132031/task_2/e1/behaviour_absent | path | "routing.md" | not in changed_paths | Updated `tests/skills/check.sh` so that research ladder doctrine in routing.md and scout.md.
qa-skills-round3-20260910-132031/task_2/e1/behaviour_absent | path | "scout.md" | not in changed_paths | Updated `tests/skills/check.sh` so that research ladder doctrine in routing.md and scout.md.
research-ladder-20260920-001419/task_1/e2/behaviour_absent | path | "routing.md" | not in changed_paths | Updated `skills/batuta/references/routing.md` so that hidden-path routing rule in routing.md and the agy adapter.
research-ladder-20260920-001419/task_2/e1/behaviour_absent | path | "routing.md" | not in changed_paths | Updated `skills/batuta-init/SKILL.md` so that hidden-path routing rule in routing.md and the agy adapter.
research-ladder-20260920-001419/task_3/e1/behaviour_absent | path | "routing.md" | not in changed_paths | Updated `skills/batuta/adapters/_template.md` so that hidden-path routing rule in routing.md and the agy adapter.
